cont_0,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6,cont_7,cont_9,cont_14,cont_15,cat_1_B1,cat_1_B2,cat_1_B3
499.74500000000006,3253.692500000001,21333.815,1585.6,21352.15,0.0256410256410256,1620.2591666666667,463.44000000000005,573.4922836472572,0.0,1879.6,1,0,0
709.9233333333335,8712.665833333334,142218.741,6662.633333333334,141548.5433333333,0.0327868852459016,3725.901666666666,0.0,573.4922836472572,0.0,4254.889999999999,0,0,0
499.9225,4972.175833333334,90172.371,2325.3900000000003,89584.23,0.0851063829787234,2303.3925,0.0,573.4922836472572,0.0,2274.2200000000003,0,0,0
456.44416666666666,14235.760833333334,24852.985,5104.76,14500.96,0.55,6692.081666666666,0.0,573.4922836472572,0.0,0.0,0,0,0
770.0358333333334,10646.623333333331,161383.483,3548.100000000001,160090.91666666666,0.2111111111111111,6126.197499999999,0.0,573.4922836472572,0.0,0.0,1,0,0
184.84916666666663,1452.3108333333332,24413.945,772.6733333333333,24433.91333333333,0.1111111111111111,680.3425000000001,0.0,573.4922836472572,0.0,604.71,0,0,0
437.08833333333337,6442.5575,357975.953,102.10333333333335,347944.0833333334,0.074074074074074,2893.8058333333333,0.0,573.4922836472572,0.0,0.0,0,0,0
469.1783333333333,16317.868333333336,0.0,4820.453333333334,37463.51,0.0153846153846153,6755.644166666668,0.0,573.4922836472572,0.0,1566.12,0,1,0
751.2166666666667,12727.555833333332,59271.79,4360.756666666667,57689.14000000001,0.1234939759036144,7892.390000000009,0.0,573.4922836472572,0.0,9034.08,0,0,0
309.3916666666667,7689.96833333333,139890.643,7633.386666666668,140793.17666666667,0.0,3095.276666666666,0.0,573.4922836472572,0.0,0.0,1,0,0
249.84333333333333,2957.1775,54548.895,1651.006666666667,54692.57333333333,0.054054054054054,1684.4075,0.0,573.4922836472572,0.0,0.0,0,0,0
750.0916666666666,13249.988333333333,34665.648,7496.45,31697.92,0.5423728813559322,7099.751666666667,0.0,573.4922836472572,0.0,7883.0,0,0,0
